x1,x2,x3,x4,x5,x6,x7,x8,y
0.64,462,0.4928 ,4220,1.5672,0.0467 ,0.0101 ,80,0.4338
0.412,532,0.6034 ,335,1.0513,0.0266 ,0.0431 ,28,0.2053
0.435,545,0.6038 ,471,1.0099,0.0273 ,0.0400 ,29,0.2079
0.455,555,0.6036 ,598,0.9316,0.0296 ,0.0387 ,30,0.2118
0.473,562,0.5931 ,742,1.0035,0.0292 ,0.0240 ,30,0.2419
0.49,570,0.5803 ,1032,1.0568,0.0299 ,0.0236 ,31,0.2478
0.51,595,0.5667 ,960,1.1486,0.0299 ,0.0237 ,32,0.2604
0.527,598,0.5586 ,1511,1.0568,0.0321 ,0.0168 ,34,0.2763
0.542,599,0.5467 ,2360,1.0487,0.0346 ,0.0182 ,38,0.2791
0.557,598,0.5390 ,2456,1.065,0.0357 ,0.0141 ,41,0.283
0.571,599,0.5290 ,3649,1.092,0.0355 ,0.0111 ,42,0.2995
0.585,600,0.5151 ,5423,1.1613,0.0368 ,0.0149 ,47,0.3176
0.598,602,0.5078 ,9836,1.1686,0.0377 ,0.0119 ,51,0.3299
0.611,605,0.4985 ,12717,1.0892,0.0419 ,0.0179 ,54,0.3207
0.623,608,0.0489 ,8778,1.1103,0.0435 ,0.0176 ,54,0.3579
0.635,635,0.4754 ,7619,1.2129,0.0459 ,0.0080 ,54,0.3726
0.646,639,0.4539 ,11634,1.2275,0.0495 ,0.0584 ,61,0.3729
0.657,645,0.4728 ,10030,1.1833,0.0515 ,0.0504 ,61,0.3944
0.666,647,0.4881 ,7577,1.4902,0.0501 ,0.0097 ,62,0.4166
0.674,652,0.4786 ,4454,1.3454,0.0508 ,0.0087 ,65,0.4115
0.395,453,0.5324 ,735,1.1866,0.0232 ,0.0299 ,25,0.2192
0.418,460,0.5399 ,409,1.1512,0.0238 ,0.0286 ,26,0.2565
0.438,466,0.5414 ,423,1.1391,0.0258 ,0.0238 ,26,0.2637
0.456,471,0.5386 ,559,1.1493,0.0264 ,0.0211 ,27,0.2762
0.473,476,0.5095 ,622,1.2791,0.0272 ,0.0159 ,29,0.2868
0.493,490,0.5019 ,756,1.3565,0.0282 ,0.0117 ,31,0.2911
0.51,514,0.4852 ,1410,1.2654,0.0292 ,0.0067 ,31,0.2974
0.525,534,0.4778 ,1779,1.2656,0.0298 ,0.0074 ,35,0.2904
0.54,551,0.4704 ,2054,1.329,0.0303 ,0.0058 ,38,0.2977
0.554,571,0.4610 ,1918,1.3124,0.0307 ,0.0061 ,39,0.312
0.568,587,0.4455 ,2402,1.4995,0.0313 ,0.0055 ,41,0.3457
0.581,597,0.4214 ,3635,1.604,0.0332 ,0.0065 ,43,0.3531
0.594,608,0.4096 ,5402,1.5003,0.0342 ,0.0076 ,46,0.3904
0.606,620,0.4080 ,8095,1.462,0.0345 ,0.0053 ,49,0.3605
0.618,632,0.3991 ,6920,1.6156,0.0354 ,0.0033 ,50,0.3714
0.629,645,0.3926 ,9342,1.6619,0.0358 ,0.0048 ,50,0.3869
0.64,651,0.4107 ,6240,1.6075,0.0365 ,0.0056 ,51,0.3886
0.649,651,0.4134 ,4604,1.6976,0.0372 ,0.0059 ,52,0.5272
0.657,655,0.3938 ,3044,1.6137,0.0380 ,0.0062 ,56,0.3892
0.341,712,0.3998 ,37,1.7541,0.0417 ,0.0077 ,34,1.0561
0.364,714,0.4187 ,41,1.6828,0.0299 ,0.0102 ,35,0.6435
0.384,719,0.4404 ,57,1.612,0.0404 ,0.0125 ,36,1.0348
0.402,732,0.4633 ,60,1.7792,0.0411 ,0.0217 ,35,1.0092
0.419,738,0.4546 ,103,1.6962,0.0417 ,0.0137 ,35,1.0025
0.439,779,0.4226 ,187,1.7207,0.0429 ,0.0077 ,36,1.0103
0.456,790,0.3922 ,392,1.9364,0.0443 ,0.0110 ,36,1.0377
