城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
保定市,河北省,2010,570.6571512,1460.046216,118040.9357,84365.0,0.915,18451.0,0.3359,1161.01,0.291558212,0.33552815,2,3185.556368,115.490696,38.8579735
保山市,云南省,2010,164.9458762,462.9405611,11724.2886,17052.0,0.415,10469.0,0.3885,252.7,0.111037594,0.341849095,5,247.0140588,99.1591622,25.1147115
北海市,广西壮族自治区,2010,192.4587476,254.4196593,24818.57862,39466.0,0.482,25412.0,0.3575,166.84,0.288705346,0.336729399,4,566.1115854,109.3729721,21.6740808
北京,,2010,899.9110534,30029.20882,74377.91149,769.405,0.829,75333.12,0.751,2060.1,0.842408,0.369508457,2,15889.92586,116.2,39.56
本溪市,辽宁省,2010,656.3906884,255.4723442,13579.74291,45329.0,0.836,50612.0,0.3266,154.6,0.672781371,0.238490002,1,333.9635696,124.157425,41.176944
滨州市,山东省,2010,382.8736244,675.9703606,41053.77329,31263.0,0.924,41661.0,0.3537,377.92,0.260568078,0.331853926,2,848.9817806,117.9647262,37.3821206
亳州市,安徽省,2010,319.9925166,171.8194594,7155.252185,35170.0,0.791,10318.0,0.359,600.76,0.120465743,0.417003345,3,228.151835,115.7730968,33.8490794
沧州市,河北省,2010,570.6571512,600.2471382,48528.41851,40436.0,0.915,31091.0,0.3791,730.89,0.358536579,0.33552815,2,1309.630526,116.8511597,38.3042796
常德市,湖南省,2010,348.9628441,522.6302485,22795.74413,55300.0,0.552,26551.0,0.3528,623.11,0.234941824,0.214326993,3,641.6899298,111.6928724,29.034552
常州市,江苏省,2010,893.3993105,1287.493351,81042.41502,209858.0,0.736,67327.0,0.4143,360.8,0.532367517,0.447119687,3,3674.522509,119.9691539,31.8122623
巢湖市,安徽省,2010,319.9925166,343.5133591,14305.27556,28632.0,0.791,16158.0,0.319,460.51,0.16069271,0.417003345,3,456.1369444,117.7327935,31.7277526
